 Debt collection, 839893, Cont'd attempts collect debt not owed, 
 Debt collection, 840278, Communication tactics, 
 Credit card, 837931, Transaction issue, 
 Debt collection, 838022, Communication tactics, 
 Debt collection, 838021, Communication tactics, 
 Debt collection, 838078, Communication tactics, 
 Bank account or service, 833980, Problems caused by my funds being low, 
 Debt collection, 834104, False statements or representation, 
 Debt collection, 834105, False statements or representation, 
 Credit reporting, 831897, Incorrect information on credit report, 
 Debt collection, 833701, Cont'd attempts collect debt not owed, 
 Student loan, 831670, Dealing with my lender or servicer, 
 Credit reporting, 829768, Incorrect information on credit report, 
 Credit reporting, 830103, Unable to get credit report/credit score, 
 Debt collection, 828967, Disclosure verification of debt, 
 Debt collection, 830799, Cont'd attempts collect debt not owed, 
 Debt collection, 820513, Cont'd attempts collect debt not owed, 
 Credit reporting, 820524, Incorrect information on credit report, 
 Student loan, 820545, Dealing with my lender or servicer, 
 Debt collection, 826874, Cont'd attempts collect debt not owed, 
 Credit reporting, 825216, Incorrect information on credit report, 
 Credit reporting, 825215, Incorrect information on credit report, 
 Credit reporting, 824286, Incorrect information on credit report, 
 Consumer loan, 819656, Managing the loan or lease, 
 Payday loan, 817267, Charged fees or interest I didn't expect, 
 Debt collection, 816416, Taking/threatening an illegal action, 
 Debt collection, 815990, False statements or representation, 
 Credit reporting, 812838, Incorrect information on credit report, 
 Credit reporting, 812839, Incorrect information on credit report, 
 Credit reporting, 813165, Incorrect information on credit report, 
 Credit reporting, 811025, Incorrect information on credit report, 
 Debt collection, 811928, Cont'd attempts collect debt not owed, 
 Debt collection, 811929, Cont'd attempts collect debt not owed, 
 Credit card, 811930, Credit card protection / Debt protection, 
 Credit reporting, 811988, Incorrect information on credit report, 
 Credit reporting, 808666, Incorrect information on credit report, 
 Credit reporting, 808665, Incorrect information on credit report, 
 Credit reporting, 808664, Incorrect information on credit report, 
 Consumer loan, 809391, Account terms and changes, 
 Debt collection, 808093, Cont'd attempts collect debt not owed, 
 Debt collection, 808819, Cont'd attempts collect debt not owed, 
 Debt collection, 806564, False statements or representation, 
 Debt collection, 806563, False statements or representation, 
 Debt collection, 806609, Cont'd attempts collect debt not owed, 
 Consumer loan, 806808, Managing the loan or lease, 
 Student loan, 805618, Dealing with my lender or servicer, 
 Credit reporting, 804374, Incorrect information on credit report, 
 Debt collection, 802609, Taking/threatening an illegal action, 
 Bank account or service, 802007, Problems caused by my funds being low, 
 Credit card, 798260, Forbearance / Workout plans, 
 Debt collection, 795978, Improper contact or sharing of info, 
 Debt collection, 795697, Improper contact or sharing of info, 
 Consumer loan, 795589, Problems when you are unable to pay, 
 Debt collection, 795590, Improper contact or sharing of info, 
 Debt collection, 795441, Communication tactics, 
 Credit reporting, 795504, Incorrect information on credit report, 
 Student loan, 795310, Can't repay my loan, 
 Credit reporting, 794226, Incorrect information on credit report, 
 Credit reporting, 794227, Incorrect information on credit report, 
 Debt collection, 794880, False statements or representation, 
 Debt collection, 793534, Improper contact or sharing of info, 
 Debt collection, 791708, Communication tactics, 
 Debt collection, 792515, Cont'd attempts collect debt not owed, 
 Debt collection, 791091, Disclosure verification of debt, 
 Mortgage, 788420, Settlement process and costs, 
 Debt collection, 787420, Taking/threatening an illegal action, 
 Debt collection, 781666, Disclosure verification of debt, 
 Debt collection, 779139, Disclosure verification of debt, 
 Credit card, 780635, Other, 
 Money transfers, 773364, Fraud or scam, 
 Debt collection, 772234, Cont'd attempts collect debt not owed, 
 Debt collection, 766154, Disclosure verification of debt, 
 Credit card, 768791, Overlimit fee, 
 Debt collection, 764293, Cont'd attempts collect debt not owed, 
 Bank account or service, 760619, Deposits and withdrawals, 
 Credit card, 763219, Customer service / Customer relations, 
 Credit card, 763183, Overlimit fee, 
 Debt collection, 760131, Disclosure verification of debt, 
 Credit reporting, 755832, Incorrect information on credit report, 
 Debt collection, 754017, Cont'd attempts collect debt not owed, 
 Bank account or service, 755530, Deposits and withdrawals, 
 Credit reporting, 759873, Incorrect information on credit report, 
 Credit card, 749409, Other fee, 
 Debt collection, 748980, Taking/threatening an illegal action, 
 Student loan, 746701, Can't repay my loan, 
 Debt collection, 748186, False statements or representation, 
 Student loan, 744537, Dealing with my lender or servicer, 
 Credit reporting, 745197, Incorrect information on credit report, 
 Debt collection, 744314, Cont'd attempts collect debt not owed, 
 Debt collection, 744470, Taking/threatening an illegal action, 
 Credit card, 741803, APR or interest rate, 
 Credit card, 739411, Application processing delay, 
 Credit card, 739409, Application processing delay, 
 Debt collection, 741620, Improper contact or sharing of info, 
 Debt collection, 741647, Cont'd attempts collect debt not owed, 
 Credit reporting, 738951, Incorrect information on credit report, 
 Debt collection, 736659, False statements or representation, 
 Credit reporting, 737362, Incorrect information on credit report, 
 Bank account or service, 736068, Using a debit or ATM card, 
 Credit reporting, 733611, Incorrect information on credit report, 
 Mortgage, 732532, Settlement process and costs, 
