NJ, Debt collection, 1064530, Disclosure verification of debt, 
NJ, Credit reporting, 1063397, Incorrect information on credit report, 
NJ, Debt collection, 1063708, Cont'd attempts collect debt not owed, 
NJ, Consumer loan, 1063935, Managing the loan or lease, 
NJ, Credit card, 1063934, Other, 
NJ, Debt collection, 1062649, Disclosure verification of debt, 
NJ, Debt collection, 1063118, False statements or representation, 
NJ, Credit reporting, 1063208, Incorrect information on credit report, 
NJ, Credit card, 1064637, Billing disputes, 
NJ, Mortgage, 1062098, Settlement process and costs, 
NJ, Debt collection, 1061860, Improper contact or sharing of info, 
NJ, Credit card, 1061939, Cash advance, 
NJ, Debt collection, 1061446, False statements or representation, 
NJ, Credit reporting, 1061631, Incorrect information on credit report, 
NJ, Credit reporting, 1061054, Incorrect information on credit report, 
NJ, Consumer loan, 1061189, Managing the loan or lease, 
NJ, Bank account or service, 1061242, Using a debit or ATM card, 
NJ, Consumer loan, 1061836, Managing the loan or lease, 
NJ, Student loan, 1059804, Dealing with my lender or servicer, 
NJ, Credit reporting, 1060236, Incorrect information on credit report, 
NJ, Credit card, 1060549, Other, 
NJ, Debt collection, 1059571, Cont'd attempts collect debt not owed, 
NJ, Consumer loan, 1059537, Taking out the loan or lease, 
NJ, Bank account or service, 1059739, Problems caused by my funds being low, 
NJ, Debt collection, 1060771, Cont'd attempts collect debt not owed, 
NJ, Money transfers, 1060855, Fraud or scam, 
NJ, Credit reporting, 1060857, Incorrect information on credit report, 
NJ, Consumer loan, 1060865, Problems when you are unable to pay, 
NJ, Credit reporting, 1058728, Credit reporting company's investigation, 
NJ, Debt collection, 1059007, Communication tactics, 
NJ, Bank account or service, 1059397, Deposits and withdrawals, 
NJ, Credit reporting, 1058528, Incorrect information on credit report, 
NJ, Debt collection, 1058526, Communication tactics, 
NJ, Bank account or service, 1058564, Deposits and withdrawals, 
NJ, Student loan, 1058347, Dealing with my lender or servicer, 
NJ, Consumer loan, 1058361, Managing the loan or lease, 
NJ, Debt collection, 1058366, Communication tactics, 
NJ, Credit reporting, 1058396, Unable to get credit report/credit score, 
NJ, Debt collection, 1056433, Communication tactics, 
NJ, Bank account or service, 1056444, Deposits and withdrawals, 
NJ, Credit card, 1056498, Delinquent account, 
NJ, Debt collection, 1056497, Disclosure verification of debt, 
NJ, Credit card, 1056499, Delinquent account, 
NJ, Money transfers, 1056739, Money was not available when promised, 
NJ, Student loan, 1056777, Dealing with my lender or servicer, 
NJ, Debt collection, 1056799, Communication tactics, 
NJ, Consumer loan, 1056786, Problems when you are unable to pay, 
NJ, Consumer loan, 1057055, Managing the loan or lease, 
NJ, Debt collection, 1057467, Disclosure verification of debt, 
NJ, Credit reporting, 1057861, Incorrect information on credit report, 
NJ, Debt collection, 1057860, Cont'd attempts collect debt not owed, 
NJ, Debt collection, 1057942, Cont'd attempts collect debt not owed, 
NJ, Debt collection, 1055125, Taking/threatening an illegal action, 
NJ, Credit reporting, 1056033, Incorrect information on credit report, 
NJ, Credit card, 1055199, Billing disputes, 
NJ, Consumer loan, 1055622, Managing the loan or lease, 
NJ, Debt collection, 1056624, Taking/threatening an illegal action, 
NJ, Debt collection, 1056625, Taking/threatening an illegal action, 
NJ, Credit card, 1055778, Balance transfer, 
NJ, Consumer loan, 1054536, Shopping for a loan or lease, 
NJ, Credit reporting, 1055856, Incorrect information on credit report, 
NJ, Credit reporting, 1055929, Incorrect information on credit report, 
NJ, Payday loan, 1054735, Charged fees or interest I didn't expect, 
NJ, Credit reporting, 1054768, Unable to get credit report/credit score, 
NJ, Consumer loan, 1054958, Managing the loan or lease, 
NJ, Credit reporting, 1055545, Improper use of my credit report, 
NJ, Credit card, 1054845, Late fee, 
NJ, Bank account or service, 1056072, Problems caused by my funds being low, 
NJ, Debt collection, 1053009, Disclosure verification of debt, 
NJ, Debt collection, 1053006, Improper contact or sharing of info, 
NJ, Debt collection, 1053164, False statements or representation, 
NJ, Consumer loan, 1053606, Managing the loan or lease, 
NJ, Credit reporting, 1054475, Incorrect information on credit report, 
NJ, Payday loan, 1052571, Charged fees or interest I didn't expect, 
NJ, Debt collection, 1054670, Improper contact or sharing of info, 
NJ, Debt collection, 1052877, Cont'd attempts collect debt not owed, 
NJ, Credit reporting, 1050939, Incorrect information on credit report, 
NJ, Payday loan, 1050938, Charged fees or interest I didn't expect, 
NJ, Credit card, 1051594, Delinquent account, 
NJ, Debt collection, 1051593, Disclosure verification of debt, 
NJ, Credit card, 1051170, Other, 
NJ, Debt collection, 1051799, Communication tactics, 
NJ, Debt collection, 1051859, Cont'd attempts collect debt not owed, 
NJ, Consumer loan, 1052100, Problems when you are unable to pay, 
NJ, Debt collection, 1052126, Disclosure verification of debt, 
NJ, Debt collection, 1050620, Improper contact or sharing of info, 
NJ, Consumer loan, 1048807, Problems when you are unable to pay, 
NJ, Debt collection, 1049092, Cont'd attempts collect debt not owed, 
NJ, Consumer loan, 1049049, Managing the loan or lease, 
NJ, Credit reporting, 1049348, Incorrect information on credit report, 
NJ, Student loan, 1049782, Can't repay my loan, 
NJ, Credit card, 1049918, Billing disputes, 
NJ, Consumer loan, 1049919, Problems when you are unable to pay, 
NJ, Debt collection, 1050629, Communication tactics, 
NJ, Credit reporting, 1048682, Incorrect information on credit report, 
NJ, Consumer loan, 1048681, Managing the loan or lease, 
NJ, Debt collection, 1048078, Cont'd attempts collect debt not owed, 
NJ, Debt collection, 1048171, False statements or representation, 
NJ, Debt collection, 1048251, Disclosure verification of debt, 
NJ, Consumer loan, 1048257, Taking out the loan or lease, 
NJ, Debt collection, 1046610, Disclosure verification of debt, 
NJ, Debt collection, 1046737, Cont'd attempts collect debt not owed, 
NJ, Consumer loan, 1047002, Managing the loan or lease, 
NJ, Credit card, 1047130, Balance transfer, 
NJ, Consumer loan, 1047139, Managing the loan or lease, 
NJ, Consumer loan, 1047261, Managing the loan or lease, 
NJ, Credit reporting, 1047354, Incorrect information on credit report, 
NJ, Credit card, 1047348, Identity theft / Fraud / Embezzlement, 
NJ, Credit card, 1047349, Identity theft / Fraud / Embezzlement, 
NJ, Credit card, 1047555, Late fee, 
NJ, Credit reporting, 1047584, Incorrect information on credit report, 
NJ, Credit card, 1047648, Identity theft / Fraud / Embezzlement, 
NJ, Debt collection, 1047720, Disclosure verification of debt, 
NJ, Credit reporting, 1047958, Incorrect information on credit report, 
NJ, Credit reporting, 1047959, Incorrect information on credit report, 
NJ, Debt collection, 1046482, Communication tactics, 
NJ, Credit card, 1044690, Other, 
NJ, Consumer loan, 1044901, Problems when you are unable to pay, 
NJ, Credit card, 1044947, Customer service / Customer relations, 
NJ, Credit reporting, 1045197, Incorrect information on credit report, 
NJ, Debt collection, 1045288, False statements or representation, 
NJ, Debt collection, 1045663, Cont'd attempts collect debt not owed, 
NJ, Debt collection, 1045664, Cont'd attempts collect debt not owed, 
NJ, Bank account or service, 1045783, Problems caused by my funds being low, 
NJ, Debt collection, 1046171, False statements or representation, 
NJ, Debt collection, 1046172, False statements or representation, 
NJ, Debt collection, 1046373, False statements or representation, 
NJ, Mortgage, 1046431, Credit decision / Underwriting, 
NJ, Credit card, 1044570, Identity theft / Fraud / Embezzlement, 
NJ, Credit card, 1043661, Late fee, 
NJ, Payday loan, 1043629, Charged fees or interest I didn't expect, 
NJ, Consumer loan, 1043653, Taking out the loan or lease, 
NJ, Consumer loan, 1044194, Problems when you are unable to pay, 
NJ, Bank account or service, 1043749, Using a debit or ATM card, 
NJ, Debt collection, 1042130, Cont'd attempts collect debt not owed, 
NJ, Credit card, 1042219, Identity theft / Fraud / Embezzlement, 
NJ, Payday loan, 1042416, Applied for loan/did not receive money, 
NJ, Debt collection, 1044234, False statements or representation, 
NJ, Credit card, 1043998, APR or interest rate, 
NJ, Credit reporting, 1043237, Incorrect information on credit report, 
NJ, Debt collection, 1044262, Cont'd attempts collect debt not owed, 
NJ, Debt collection, 1044261, Cont'd attempts collect debt not owed, 
