TransUnion,Closed with explanation,1106818,Credit reporting
Equifax,Closed with explanation,1106800,Credit reporting
Santander Bank US,In progress,1106792,Bank account or service
Experian,In progress,1106788,Credit reporting
Ocwen,Closed with explanation,1106785,Mortgage
Experian,In progress,1106798,Credit reporting
Wells Fargo,Closed with explanation,1106695,Debt collection
"Aargon Agency, Inc.",Closed,1106836,Debt collection
"ProCollect, Inc",Closed with explanation,1106780,Debt collection
TransUnion,In progress,1106744,Credit reporting
Nationstar Mortgage,Closed with explanation,1105522,Mortgage
U.S. Bancorp,Closed with explanation,1106690,Mortgage
Equifax,Closed with explanation,1106677,Credit reporting
U.S. Bancorp,Closed with explanation,1106667,Bank account or service
Experian,Closed with explanation,1106742,Credit reporting
Equifax,In progress,1106679,Credit reporting
Wells Fargo,Closed with explanation,1105232,Bank account or service
Westgate Arbitration INC,Closed with explanation,1105047,Debt collection
Bank of America,Closed with explanation,1105513,Credit card
Wells Fargo,Closed with monetary relief,1105519,Bank account or service
MOHELA,Closed with explanation,1104629,Debt collection
Navy FCU,In progress,1105481,Bank account or service
"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1105158,Debt collection
"Expert Global Solutions, Inc.",In progress,1104773,Debt collection
Equifax,In progress,1105061,Credit reporting
Wells Fargo,Closed with explanation,1104739,Bank account or service
Allied Interstate LLC,Closed with non-monetary relief,1104951,Debt collection
Nationstar Mortgage,Closed with explanation,1104949,Mortgage
"Dynamic Recovery Solutions, LLC",Closed,1106295,Debt collection
Bank of America,In progress,1105025,Money transfers
Zions Bancorporation,Closed,1105150,Mortgage
First Tennessee Bank,Closed with explanation,1104964,Mortgage
NVR Inc,Closed with explanation,1105071,Mortgage
Equifax,Closed with explanation,1108238,Credit reporting
Experian,Closed with non-monetary relief,1108205,Credit reporting
Equifax,Closed with non-monetary relief,1108208,Credit reporting
Equifax,In progress,1108224,Credit reporting
Equifax,Closed with explanation,1106050,Credit reporting
Experian,Closed,1105424,Credit reporting
"CMRE Financial Services, Inc.",Closed with explanation,1105280,Debt collection
Santander Consumer USA,Closed with explanation,1106782,Consumer loan
"Expert Global Solutions, Inc.",In progress,1104401,Payday loan
Experian,Closed with explanation,1106817,Credit reporting
Equifax,In progress,1105425,Credit reporting
"Convergent Resources, Inc.",Closed with explanation,1105457,Debt collection
Equifax,Closed with non-monetary relief,1106689,Credit reporting
Equifax,Closed with non-monetary relief,1106125,Credit reporting
"MNE Services, Inc",Closed with explanation,1105363,Payday loan
Action Collection Service,Closed with explanation,1105947,Debt collection
Nationstar Mortgage,Closed with explanation,1105830,Mortgage
HSBC,In progress,1105923,Debt collection
Bank of America,In progress,1105985,Money transfers
TD Bank,Closed with explanation,1105629,Bank account or service
Red Rock Tribal Lending,Closed with explanation,1105915,Payday loan
"McCullough Payne & Haan, LLC",Closed with explanation,1106015,Debt collection
HSBC,In progress,1105736,Debt collection
Equifax,Closed with non-monetary relief,1106045,Credit reporting
Bank of America,In progress,1105720,Bank account or service
Equifax,Closed with explanation,1105351,Credit reporting
TransUnion,Closed with explanation,1106124,Credit reporting
Equifax,In progress,1108176,Credit reporting
American Honda Finance Corporation,Closed with explanation,1106708,Consumer loan
