 Student loan, 172154, Repaying your loan, 
 Student loan, 167020, Repaying your loan, 
 Credit card, 166051, Transaction issue, 
 Credit card, 166067, Forbearance / Workout plans, 
 Credit card, 160581, Other, 
 Credit card, 153700, Closing/Cancelling account, 
 Credit card, 134044, Transaction issue, 
 Credit card, 130488, APR or interest rate, 
 Credit card, 120075, Advertising and marketing, 
 Credit card, 114198, Collection practices, 
 Consumer loan, 105221, Managing the loan or lease, 
 Student loan, 102637, Problems when you are unable to pay, 
 Student loan, 102641, Repaying your loan, 
 Bank account or service, 95956, Deposits and withdrawals, 
 Credit card, 96101, Billing disputes, 
 Credit card, 92500, Billing disputes, 
 Credit card, 83733, Identity theft / Fraud / Embezzlement, 
 Bank account or service, 84236, Deposits and withdrawals, 
 Consumer loan, 78175, Problems when you are unable to pay, 
 Credit card, 36864, APR or interest rate, 
 Credit card, 36865, APR or interest rate, 
 Credit card, 74982, Other fee, 
 Credit card, 72916, Bankruptcy, 
 Consumer loan, 67523, Managing the line of credit, 
 Student loan, 58291, Repaying your loan, 
 Credit card, 43845, Late fee, 
 Credit card, 41657, Collection debt dispute, 
 Credit card, 28245, Billing disputes, 
 Mortgage, 23863, Settlement process and costs, 
 Mortgage, 19012, Credit decision / Underwriting, 
 Mortgage, 16808, Settlement process and costs, 
 Credit card, 13855, Other fee, 
 Credit card, 4509, APR or interest rate, 
 Mortgage, 3807, Credit decision / Underwriting, 
 Credit card, 2963, Credit reporting, 
 Credit card, 2046, Credit card protection / Debt protection, 
